Austria,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,1.  Energy,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,2.  Industrial Processes and Product Use,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,5.  Waste,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Belarus,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Czechia,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Denmark,1.  Energy,1.491437112,1.491437112,1.671194021,1.875190708,2.091680546,2.26278587,2.487332562,2.746860783,3.108752373,3.358255113,3.610785991,3.922660746,4.008719891,3.99997272,4.135909342,4.191100801,4.232954062,4.253492522,4.499048998,4.298625513,4.078902383,4.002744537,3.70626732,3.401900357,3.247098365,3.017796408,3.240960424,3.143619319,3.105735231
Denmark,2.  Industrial Processes and Product Use,0.67690919,0.67690919,0.69710933,0.711705691,0.727520869,0.765475699,0.735259895,0.66893406,0.705494453,0.687617116,0.700132297,0.626735161,0.636603658,0.605904135,0.614412262,0.70337763,0.642450519,0.656380854,0.671058521,0.554673273,0.584330266,0.509843789,0.394580375,0.42428377,0.367358964,0.381320046,0.468822385,0.331086776,0.325585613
Denmark,5.  Waste,0.206788953,0.206788953,0.22857781,0.250312077,0.272073439,0.293794452,0.273354978,0.322810117,0.375520509,0.405342818,0.485770078,0.539925643,0.5080371,0.5895111,0.60707006,0.494084138,0.528051319,0.564512624,0.633432045,0.58156513,0.625772849,0.606607483,0.586796117,0.561692534,0.600689936,0.593193983,0.635399721,0.655130972,0.680126549
Denmark,6.  Other,"NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO","NE,NO"
Estonia,1.  Energy,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Estonia,2.  Industrial Processes and Product Use,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Estonia,5.  Waste,0.001626,0.001626,0.001708,0.001794,0.001886,0.001981,0.002136,0.001442,0.002695,0.000501,0.001544,0.004562,0.004305,0.003926,0.016161,0.018264,0.025252,0.027678,0.044563,0.050759,0.058264,0.054608,0.040118,0.037826,0.04518068,0.033607,0.039936273,0.059422,0.060448
Estonia,6.  Other,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
European Union (Convention),1.  Energy,51.76929598,51.76929598,55.00326297,58.63361462,66.42966549,73.29488052,81.90133653,92.19012813,100.3884468,110.0318279,116.5608692,137.4315115,135.9659375,132.3337952,133.0329292,134.247291,127.6418358,122.1376338,112.6967838,108.6099762,105.8675193,101.3652708,97.83279831,92.48752678,90.98989868,83.23127004,84.38301168,77.33031985,67.84968905
European Union (Convention),2.  Industrial Processes and Product Use,93.11751746,93.11751746,77.68039251,75.39251622,68.12719795,69.6638539,71.11263593,70.81639686,76.97239244,74.33663082,72.80464744,65.14249955,59.25891844,58.99188784,66.25122915,64.66255423,65.34367589,60.27131964,54.46808339,52.92645177,51.43762675,52.55469819,54.14526563,53.58416179,50.6595442,50.37389655,112.2584078,52.68058342,57.0176112
European Union (Convention),5.  Waste,49.14889718,49.14889718,48.76453152,48.38113842,47.64200466,47.73707962,48.26814272,48.1523564,48.06864796,47.81753361,47.48728644,47.10543181,47.57796855,46.7651901,45.85259963,44.74664383,44.19589555,41.95653815,41.54631409,41.67254533,40.5455172,38.75394759,39.50583588,39.29455487,40.24333682,40.55851719,40.57429699,40.69292832,40.95029204
European Union (Convention),6.  Other,1429.980228,1429.980228,1284.492079,1230.421134,1202.795865,1172.002686,1178.081533,1170.538502,1165.130491,1179.820053,1172.062952,1113.156165,1123.035247,1106.446225,1084.76188,1056.98322,1069.727581,1083.078391,1085.464919,1071.251719,1068.478044,1043.978734,1073.941241,1053.230757,1074.825565,1071.981521,1082.726,1082.382199,1087.915515
European Union (KP),1.  Energy,51.7461937,51.7461937,54.98002792,58.60840767,66.39790953,73.25281111,81.85007911,92.12717696,100.3090041,109.9307524,116.4346321,137.3078977,135.8420983,132.2243972,132.929152,134.1588606,127.4253427,121.9316252,112.4812953,108.3736771,105.803639,101.3014371,97.81225297,92.50133098,90.96384411,83.34675683,84.18480402,68.19634386,67.84968905
European Union (KP),2.  Industrial Processes and Product Use,93.1360745,93.1360745,77.69808402,75.40841469,68.14333127,69.68192624,71.1340661,70.83648667,76.99479366,74.35801465,72.82752161,65.1662252,59.28138681,59.01510318,66.27177302,64.68683546,65.36982219,60.30210831,54.50241729,52.95582895,51.45023765,52.57064301,54.16871154,53.60436666,50.67901414,50.39331196,112.2752531,52.69369594,57.04082998
